,day1_aBb_1.counts.txt,day1_aBb_2.counts.txt,day1_aBb_3.counts.txt,day1_aBb_4.counts.txt,day2_aBb_1.counts.txt,day2_aBb_2.counts.txt,day2_aBb_3.counts.txt,day2_aBb_4.counts.txt,day3_aBb_1.counts.txt,day3_aBb_2.counts.txt,day3_aBb_3.counts.txt,day3_aBb_4.counts.txt,day4_aBb_1.counts.txt,day4_aBb_2.counts.txt,day4_aBb_3.counts.txt,day4_aBb_4.counts.txt
BB_0082,2711.18147589187,2504.48202000368,2709.55116210277,2920.31079437861,2773.51229142004,3029.37289233816,3040.49280341366,2723.2258268482,2958.40583261565,2766.94214031162,2733.38020743384,3037.71523072404,2738.55400641826,3248.04284440586,3244.5739485628,3138.0471631003
BB_0083,1181.91272326734,1068.22981040333,1009.51980704276,1289.91085104861,1077.27013185405,1451.44682445115,1180.57628517484,1120.34364771351,883.106218691239,922.31404677054,945.010075802628,1133.87752641433,1223.24006833677,1305.30497991834,1283.03074816231,1336.81514591422
BB_0084,4163.76123502196,3773.95254307654,4009.81267357385,4143.11075187611,4717.77460146293,5110.98722483316,4718.91268010979,4351.50477079453,3398.48709826345,3860.65968249969,4050.36233435027,4337.75437607628,3032.07378640923,3781.62430396096,3393.95837734774,4323.19198902952
BB_0085,384.948673227021,413.967767386409,499.375797883819,403.652286211846,343.993165226668,405.62506264892,448.652912972336,431.745001797892,267.875553003009,297.099392057059,433.408876372837,404.8726771304,399.071227968025,438.682743593956,469.095028707874,565.530417928529
BB_0086,2217.21413544236,2484.72551168224,2463.22832918434,2557.12242927847,2189.0474150788,2664.97894869476,2431.54612758353,2457.7141947265,2218.06845261283,2249.46682557487,2351.91337423456,2260.7341393524,2329.36140672641,2381.42060808147,2387.35862824543,2131.61465219215
BB_0087,13546.1332920532,13258.9143520943,13625.8253422585,13066.8857443639,13528.9600342752,16180.4283232481,13067.7581910733,13053.3599139831,10492.7737217497,12692.0207321079,11062.5381627793,11444.088966287,13491.788507861,12610.7859719683,13623.3014587245,13214.1296613279
BB_0088,7779.42172242186,7770.74012187162,7467.75451929766,8141.1435426932,7078.2794249149,8693.07998275886,7192.86456506311,7424.51331300305,6303.90655775763,7492.78137110934,6691.0287873023,6880.49520672471,6304.16867369778,6050.24077797541,6176.41787798701,5629.43792316382
BB_0089,1262.36098114877,1416.03624759702,1514.27971056414,1346.16557064293,1393.22623659202,1587.3980817126,1362.07292671753,1306.77898939897,1451.23788604927,1394.08176272928,1387.35521766769,1465.0306120441,1189.98413267277,1260.54143465365,1160.17252635787,1134.5880526009
BB_0090,3044.25230057854,3333.33646214028,3591.19846025345,3595.3674295104,3746.18262068165,3935.34315589193,3207.57148745062,3464.92679918816,3226.28138561866,3862.29209674177,3125.45885590515,2939.42244205654,1982.34294762377,2111.04879468275,2190.50625012695,2332.66600659086
BB_0091,11047.7261804646,11669.2046127414,11811.3817424003,11862.8373600645,11194.3355743512,12203.2968710668,11226.5002060772,10915.4140762031,10909.3054882324,11332.2196684621,10720.1674911085,11100.0642059508,7946.72271345023,9090.58077235311,8787.15509133143,8457.09001280646
BB_0092,2411.19217781066,2496.21185372959,2488.80283096276,2567.97860323527,2071.50743072235,2524.57027316244,2157.60493497471,2181.81297700004,2275.47035682776,2109.0792007567,2329.01419391073,2115.63526084324,1590.50127088705,1840.67698128403,1806.57430698806,1804.75923392992
BB_0093,10977.0520099893,11273.1555389489,11796.575451897,12032.5884437526,10613.105743451,13003.4034506875,10550.5524336028,10979.4831874325,10464.8086914912,10442.553906533,10454.3135927149,10426.0565122308,8621.9627984541,9004.63476544491,9317.67923094153,8881.53176098151
BB_0094,10487.5957868041,11877.7965843212,13242.2078155823,13578.1128452386,10230.2920329323,12426.1677846102,10558.1854699293,10936.1932474126,10685.585246164,10241.7669547582,11071.4744282716,10836.7799505914,8461.46676111913,9013.58747449785,9154.33364058789,8224.29370771322
BB_0095,1448.06864186571,1468.41396733292,1666.38069482525,1673.82463915719,1279.99964615691,1669.30314243979,1419.74475674044,1595.95578873151,1564.56985078131,1379.39003455063,1477.27638918319,1572.68461867993,1132.14772282233,1459.29157562887,1111.30846086746,1309.77315087813
BB_0096,3458.52323602402,3550.19859999421,3340.83754810685,3917.10494859369,3153.09095649774,3346.40676685359,3239.79986305165,3141.69524704001,2923.081583868,3060.77670388454,3153.94320216161,3316.21146528194,2818.07906996261,2877.40068961423,3015.61089883633,2954.63189242078
BB_0097,1955.56933410836,1946.70525018448,2184.60086244054,2434.7437410382,2091.9960518487,2183.5777754411,2080.4264565617,2044.43956733708,1906.03758867526,1808.7149802155,1838.63662502497,2015.00216768366,1784.25324388602,1729.6633890276,1900.11408949826,2109.27561281451
